"status","AuctionType:","Case#:","FinalJudgmentAmount:","ParcelID:","ParcelLink","PropertyAddress:","address2","PlaintiffMaxBid:","AssessedValue:"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-015996-CA-01","$247,158.20","01-4115-105-0270","http://www.miamidade.gov/propertysearch/#/?folio=0141151050270","2575 SW 27 AVE 406","MIAMI, FL- 33133","Hidden","$134,058.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-017617-CA-01","$171,326.69","36-6016-023-0470","http://www.miamidade.gov/propertysearch/#/?folio=3660160230470","22301 SW 88 PL 106-3","CUTLER BAY, FL- 33190","Hidden","$130,000.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-020022-CA-01","$451,111.37","Property Appraiser","http://www.miamidade.gov/propertysearch/#/?folio=","1320 SE 17 AVE","HOMESTEAD , FL- 33035","Hidden",
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-023800-CA-01","$450,342.65","27-2033-005-0050","http://www.miamidade.gov/propertysearch/#/?folio=2720330050050","11440 NW 87 CT","HIALEAH , FL- 33018","Hidden","$117,687.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-003681-CA-01","$211,106.48","34-1133-009-0500","http://www.miamidade.gov/propertysearch/#/?folio=3411330090500","3545 NW 205 ST","MIAMI GARDENS, FL- 33056","Hidden","$105,534.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-006767-CA-01","$822,314.29","30-2004-003-0190","http://www.miamidade.gov/propertysearch/#/?folio=3020040030190","8943 NW 194 TER","HIALEAH , FL- 33018","Hidden","$277,545.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-009858-CA-01","$140,939.89","01-3135-083-0030","http://www.miamidade.gov/propertysearch/#/?folio=0131350830030","1525 NW 19 TER 3","MIAMI, FL- 33125","$68,900.00","$33,260.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2018-011338-CA-01","$302,390.75","33-5033-054-1810","http://www.miamidade.gov/propertysearch/#/?folio=3350330541810","17367 SW 95 AVE 17367","PALMETTO BAY, FL- 33157","Hidden","$100,492.00"
"Canceled per Order","FORECLOSURE"," 2018-026417-CA-01","$112,604.94","34-1133-007-1610","http://www.miamidade.gov/propertysearch/#/?folio=3411330071610","3271 NW 207 ST","MIAMI , FL- 33056","Hidden","$58,284.00"
"Canceled per Order","FORECLOSURE"," 2018-029644-CA-01","$205,308.97","30-3111-031-0710","http://www.miamidade.gov/propertysearch/#/?folio=3031110310710","7565 NW 16 AVE","MIAMI, FL- 33147","Hidden","$63,776.00"
"Canceled per County","FORECLOSURE"," 2018-032319-CA-01","$339,106.83","28-1235-071-3780","http://www.miamidade.gov/propertysearch/#/?folio=2812350713780","19555 E COUNTRY CLUB DR 8108","AVENTURA, FL- 33180","Hidden","$258,536.00"
"Canceled per Order","FORECLOSURE"," 2018-035658-CA-01","$257,600.91","30-4926-057-1350","http://www.miamidade.gov/propertysearch/#/?folio=3049260571350","13491 SW 62 ST 1","MIAMI, FL- 33183","Hidden","$98,840.00"
"Canceled per Order","FORECLOSURE"," 2018-037032-CA-01","$271,425.33","30-6019-015-1010","http://www.miamidade.gov/propertysearch/#/?folio=3060190151010","11402 SW 238 ST","MIAMI, FL- 33032","Hidden","$97,082.00"
"Other","FORECLOSURE"," 2018-037253-CA-01","$12,523.75","30-1231-059-0280","http://www.miamidade.gov/propertysearch/#/?folio=3012310590280","817 NE 214 LN 04","MIAMI, FL- 33179","Hidden","$130,011.00"
"Canceled per County","FORECLOSURE"," 2019-003354-CA-01","$216,334.03","30-2011-073-0440","http://www.miamidade.gov/propertysearch/#/?folio=3020110730440","7241 NW 174 TER 203","MIAMI, FL- 33015","Hidden","$123,846.00"
"Canceled per Order","FORECLOSURE"," 2019-009765-CA-01","$93,853.02","30-2219-000-1310","http://www.miamidade.gov/propertysearch/#/?folio=3022190001310","14401 NE 3 CT","MIAMI, FL- 33161","Hidden","$311,572.00"
